"datekey","Date","Year","Day","Month Name","Month","MonthNr","Quarter"
20190416,2019-04-16,"2019",Tuesday,April,Apr,4,2
20190417,2019-04-17,"2019",Wednesday,April,Apr,4,2
20190418,2019-04-18,"2019",Thursday,April,Apr,4,2
20190419,2019-04-19,"2019",Friday,April,Apr,4,2
20190420,2019-04-20,"2019",Saturday,April,Apr,4,2
20190421,2019-04-21,"2019",Sunday,April,Apr,4,2
20190422,2019-04-22,"2019",Monday,April,Apr,4,2
20190423,2019-04-23,"2019",Tuesday,April,Apr,4,2
20190424,2019-04-24,"2019",Wednesday,April,Apr,4,2
20190425,2019-04-25,"2019",Thursday,April,Apr,4,2
20190426,2019-04-26,"2019",Friday,April,Apr,4,2
20190427,2019-04-27,"2019",Saturday,April,Apr,4,2
20190428,2019-04-28,"2019",Sunday,April,Apr,4,2
20190429,2019-04-29,"2019",Monday,April,Apr,4,2
20190430,2019-04-30,"2019",Tuesday,April,Apr,4,2
20190501,2019-05-01,"2019",Wednesday,May,May,5,2
20190502,2019-05-02,"2019",Thursday,May,May,5,2
20190503,2019-05-03,"2019",Friday,May,May,5,2
20190504,2019-05-04,"2019",Saturday,May,May,5,2
20190505,2019-05-05,"2019",Sunday,May,May,5,2
20190506,2019-05-06,"2019",Monday,May,May,5,2
20190507,2019-05-07,"2019",Tuesday,May,May,5,2
20190508,2019-05-08,"2019",Wednesday,May,May,5,2
20190509,2019-05-09,"2019",Thursday,May,May,5,2
20190510,2019-05-10,"2019",Friday,May,May,5,2
20190511,2019-05-11,"2019",Saturday,May,May,5,2
20190512,2019-05-12,"2019",Sunday,May,May,5,2
20190513,2019-05-13,"2019",Monday,May,May,5,2
20190514,2019-05-14,"2019",Tuesday,May,May,5,2
20190515,2019-05-15,"2019",Wednesday,May,May,5,2
20190516,2019-05-16,"2019",Thursday,May,May,5,2
20190517,2019-05-17,"2019",Friday,May,May,5,2
20190518,2019-05-18,"2019",Saturday,May,May,5,2
20190519,2019-05-19,"2019",Sunday,May,May,5,2
20190520,2019-05-20,"2019",Monday,May,May,5,2
20190521,2019-05-21,"2019",Tuesday,May,May,5,2
20190522,2019-05-22,"2019",Wednesday,May,May,5,2
20190523,2019-05-23,"2019",Thursday,May,May,5,2
20190524,2019-05-24,"2019",Friday,May,May,5,2
20190525,2019-05-25,"2019",Saturday,May,May,5,2
20190526,2019-05-26,"2019",Sunday,May,May,5,2
20190527,2019-05-27,"2019",Monday,May,May,5,2
20190528,2019-05-28,"2019",Tuesday,May,May,5,2
20190529,2019-05-29,"2019",Wednesday,May,May,5,2
20190530,2019-05-30,"2019",Thursday,May,May,5,2
20190531,2019-05-31,"2019",Friday,May,May,5,2
20190601,2019-06-01,"2019",Saturday,June,Jun,6,2
20190602,2019-06-02,"2019",Sunday,June,Jun,6,2
20190603,2019-06-03,"2019",Monday,June,Jun,6,2
20190604,2019-06-04,"2019",Tuesday,June,Jun,6,2
20190605,2019-06-05,"2019",Wednesday,June,Jun,6,2
20190606,2019-06-06,"2019",Thursday,June,Jun,6,2
20190607,2019-06-07,"2019",Friday,June,Jun,6,2
20190608,2019-06-08,"2019",Saturday,June,Jun,6,2
20190609,2019-06-09,"2019",Sunday,June,Jun,6,2
20190610,2019-06-10,"2019",Monday,June,Jun,6,2
20190611,2019-06-11,"2019",Tuesday,June,Jun,6,2
20190612,2019-06-12,"2019",Wednesday,June,Jun,6,2
20190613,2019-06-13,"2019",Thursday,June,Jun,6,2
20190614,2019-06-14,"2019",Friday,June,Jun,6,2
20190615,2019-06-15,"2019",Saturday,June,Jun,6,2
20190616,2019-06-16,"2019",Sunday,June,Jun,6,2
20190617,2019-06-17,"2019",Monday,June,Jun,6,2
20190618,2019-06-18,"2019",Tuesday,June,Jun,6,2
20190619,2019-06-19,"2019",Wednesday,June,Jun,6,2
20190620,2019-06-20,"2019",Thursday,June,Jun,6,2
20190621,2019-06-21,"2019",Friday,June,Jun,6,2
20190622,2019-06-22,"2019",Saturday,June,Jun,6,2
20190623,2019-06-23,"2019",Sunday,June,Jun,6,2
20190624,2019-06-24,"2019",Monday,June,Jun,6,2
20190625,2019-06-25,"2019",Tuesday,June,Jun,6,2
20190626,2019-06-26,"2019",Wednesday,June,Jun,6,2
20190627,2019-06-27,"2019",Thursday,June,Jun,6,2
20190628,2019-06-28,"2019",Friday,June,Jun,6,2
20190629,2019-06-29,"2019",Saturday,June,Jun,6,2
20190630,2019-06-30,"2019",Sunday,June,Jun,6,2
20190701,2019-07-01,"2019",Monday,July,Jul,7,3
20190702,2019-07-02,"2019",Tuesday,July,Jul,7,3
20190703,2019-07-03,"2019",Wednesday,July,Jul,7,3
20190704,2019-07-04,"2019",Thursday,July,Jul,7,3
20190705,2019-07-05,"2019",Friday,July,Jul,7,3
20190706,2019-07-06,"2019",Saturday,July,Jul,7,3
20190707,2019-07-07,"2019",Sunday,July,Jul,7,3
20190708,2019-07-08,"2019",Monday,July,Jul,7,3
20190709,2019-07-09,"2019",Tuesday,July,Jul,7,3
20190710,2019-07-10,"2019",Wednesday,July,Jul,7,3
20190711,2019-07-11,"2019",Thursday,July,Jul,7,3
20190712,2019-07-12,"2019",Friday,July,Jul,7,3
20190713,2019-07-13,"2019",Saturday,July,Jul,7,3
20190714,2019-07-14,"2019",Sunday,July,Jul,7,3
20190715,2019-07-15,"2019",Monday,July,Jul,7,3
20190716,2019-07-16,"2019",Tuesday,July,Jul,7,3
20190717,2019-07-17,"2019",Wednesday,July,Jul,7,3
20190718,2019-07-18,"2019",Thursday,July,Jul,7,3
20190719,2019-07-19,"2019",Friday,July,Jul,7,3
20190720,2019-07-20,"2019",Saturday,July,Jul,7,3
20190721,2019-07-21,"2019",Sunday,July,Jul,7,3
20190722,2019-07-22,"2019",Monday,July,Jul,7,3
20190723,2019-07-23,"2019",Tuesday,July,Jul,7,3
20190724,2019-07-24,"2019",Wednesday,July,Jul,7,3
20190725,2019-07-25,"2019",Thursday,July,Jul,7,3
20190726,2019-07-26,"2019",Friday,July,Jul,7,3
20190727,2019-07-27,"2019",Saturday,July,Jul,7,3
20190728,2019-07-28,"2019",Sunday,July,Jul,7,3
20190729,2019-07-29,"2019",Monday,July,Jul,7,3
20190730,2019-07-30,"2019",Tuesday,July,Jul,7,3
20190731,2019-07-31,"2019",Wednesday,July,Jul,7,3
20190801,2019-08-01,"2019",Thursday,August,Aug,8,3
20190802,2019-08-02,"2019",Friday,August,Aug,8,3
20190803,2019-08-03,"2019",Saturday,August,Aug,8,3
20190804,2019-08-04,"2019",Sunday,August,Aug,8,3
20190805,2019-08-05,"2019",Monday,August,Aug,8,3
20190806,2019-08-06,"2019",Tuesday,August,Aug,8,3
20190807,2019-08-07,"2019",Wednesday,August,Aug,8,3
20190808,2019-08-08,"2019",Thursday,August,Aug,8,3
20190809,2019-08-09,"2019",Friday,August,Aug,8,3
20190810,2019-08-10,"2019",Saturday,August,Aug,8,3
20190811,2019-08-11,"2019",Sunday,August,Aug,8,3
20190812,2019-08-12,"2019",Monday,August,Aug,8,3
20190813,2019-08-13,"2019",Tuesday,August,Aug,8,3
20190814,2019-08-14,"2019",Wednesday,August,Aug,8,3
20190815,2019-08-15,"2019",Thursday,August,Aug,8,3
20190816,2019-08-16,"2019",Friday,August,Aug,8,3
20190817,2019-08-17,"2019",Saturday,August,Aug,8,3
20190818,2019-08-18,"2019",Sunday,August,Aug,8,3
20190819,2019-08-19,"2019",Monday,August,Aug,8,3
20190820,2019-08-20,"2019",Tuesday,August,Aug,8,3
20190821,2019-08-21,"2019",Wednesday,August,Aug,8,3
20190822,2019-08-22,"2019",Thursday,August,Aug,8,3
20190823,2019-08-23,"2019",Friday,August,Aug,8,3
20190824,2019-08-24,"2019",Saturday,August,Aug,8,3
20190825,2019-08-25,"2019",Sunday,August,Aug,8,3
20190826,2019-08-26,"2019",Monday,August,Aug,8,3
20190827,2019-08-27,"2019",Tuesday,August,Aug,8,3
20190828,2019-08-28,"2019",Wednesday,August,Aug,8,3
20190829,2019-08-29,"2019",Thursday,August,Aug,8,3
20190830,2019-08-30,"2019",Friday,August,Aug,8,3
20190831,2019-08-31,"2019",Saturday,August,Aug,8,3
20190901,2019-09-01,"2019",Sunday,September,Sep,9,3
20190902,2019-09-02,"2019",Monday,September,Sep,9,3
20190903,2019-09-03,"2019",Tuesday,September,Sep,9,3
20190904,2019-09-04,"2019",Wednesday,September,Sep,9,3
20190905,2019-09-05,"2019",Thursday,September,Sep,9,3
20190906,2019-09-06,"2019",Friday,September,Sep,9,3
20190907,2019-09-07,"2019",Saturday,September,Sep,9,3
20190908,2019-09-08,"2019",Sunday,September,Sep,9,3
20190909,2019-09-09,"2019",Monday,September,Sep,9,3
20190910,2019-09-10,"2019",Tuesday,September,Sep,9,3
20190911,2019-09-11,"2019",Wednesday,September,Sep,9,3
20190912,2019-09-12,"2019",Thursday,September,Sep,9,3
20190913,2019-09-13,"2019",Friday,September,Sep,9,3
20190914,2019-09-14,"2019",Saturday,September,Sep,9,3
20190915,2019-09-15,"2019",Sunday,September,Sep,9,3
20190916,2019-09-16,"2019",Monday,September,Sep,9,3
20190917,2019-09-17,"2019",Tuesday,September,Sep,9,3
20190918,2019-09-18,"2019",Wednesday,September,Sep,9,3
20190919,2019-09-19,"2019",Thursday,September,Sep,9,3
20190920,2019-09-20,"2019",Friday,September,Sep,9,3
20190921,2019-09-21,"2019",Saturday,September,Sep,9,3
20190922,2019-09-22,"2019",Sunday,September,Sep,9,3
20190923,2019-09-23,"2019",Monday,September,Sep,9,3
20190924,2019-09-24,"2019",Tuesday,September,Sep,9,3
20190925,2019-09-25,"2019",Wednesday,September,Sep,9,3
20190926,2019-09-26,"2019",Thursday,September,Sep,9,3
20190927,2019-09-27,"2019",Friday,September,Sep,9,3
20190928,2019-09-28,"2019",Saturday,September,Sep,9,3
20190929,2019-09-29,"2019",Sunday,September,Sep,9,3
20190930,2019-09-30,"2019",Monday,September,Sep,9,3
20191001,2019-10-01,"2019",Tuesday,October,Oct,10,4
20191002,2019-10-02,"2019",Wednesday,October,Oct,10,4
20191003,2019-10-03,"2019",Thursday,October,Oct,10,4
20191004,2019-10-04,"2019",Friday,October,Oct,10,4
20191005,2019-10-05,"2019",Saturday,October,Oct,10,4
20191006,2019-10-06,"2019",Sunday,October,Oct,10,4
20191007,2019-10-07,"2019",Monday,October,Oct,10,4
20191008,2019-10-08,"2019",Tuesday,October,Oct,10,4
20191009,2019-10-09,"2019",Wednesday,October,Oct,10,4
20191010,2019-10-10,"2019",Thursday,October,Oct,10,4
20191011,2019-10-11,"2019",Friday,October,Oct,10,4
20191012,2019-10-12,"2019",Saturday,October,Oct,10,4
20191013,2019-10-13,"2019",Sunday,October,Oct,10,4
20191014,2019-10-14,"2019",Monday,October,Oct,10,4
20191015,2019-10-15,"2019",Tuesday,October,Oct,10,4
20191016,2019-10-16,"2019",Wednesday,October,Oct,10,4
20191017,2019-10-17,"2019",Thursday,October,Oct,10,4
20191018,2019-10-18,"2019",Friday,October,Oct,10,4
20191019,2019-10-19,"2019",Saturday,October,Oct,10,4
20191020,2019-10-20,"2019",Sunday,October,Oct,10,4
20191021,2019-10-21,"2019",Monday,October,Oct,10,4
20191022,2019-10-22,"2019",Tuesday,October,Oct,10,4
20191023,2019-10-23,"2019",Wednesday,October,Oct,10,4
20191024,2019-10-24,"2019",Thursday,October,Oct,10,4
20191025,2019-10-25,"2019",Friday,October,Oct,10,4
20191026,2019-10-26,"2019",Saturday,October,Oct,10,4
20191027,2019-10-27,"2019",Sunday,October,Oct,10,4
20191028,2019-10-28,"2019",Monday,October,Oct,10,4
20191029,2019-10-29,"2019",Tuesday,October,Oct,10,4
20191030,2019-10-30,"2019",Wednesday,October,Oct,10,4
20191031,2019-10-31,"2019",Thursday,October,Oct,10,4
20191101,2019-11-01,"2019",Friday,November,Nov,11,4
20191102,2019-11-02,"2019",Saturday,November,Nov,11,4
20191103,2019-11-03,"2019",Sunday,November,Nov,11,4
20191104,2019-11-04,"2019",Monday,November,Nov,11,4
20191105,2019-11-05,"2019",Tuesday,November,Nov,11,4
20191106,2019-11-06,"2019",Wednesday,November,Nov,11,4
20191107,2019-11-07,"2019",Thursday,November,Nov,11,4
20191108,2019-11-08,"2019",Friday,November,Nov,11,4
20191109,2019-11-09,"2019",Saturday,November,Nov,11,4
20191110,2019-11-10,"2019",Sunday,November,Nov,11,4
20191111,2019-11-11,"2019",Monday,November,Nov,11,4
20191112,2019-11-12,"2019",Tuesday,November,Nov,11,4
20191113,2019-11-13,"2019",Wednesday,November,Nov,11,4
20191114,2019-11-14,"2019",Thursday,November,Nov,11,4
20191115,2019-11-15,"2019",Friday,November,Nov,11,4
20191116,2019-11-16,"2019",Saturday,November,Nov,11,4
20191117,2019-11-17,"2019",Sunday,November,Nov,11,4
20191118,2019-11-18,"2019",Monday,November,Nov,11,4
20191119,2019-11-19,"2019",Tuesday,November,Nov,11,4
20191120,2019-11-20,"2019",Wednesday,November,Nov,11,4
20191121,2019-11-21,"2019",Thursday,November,Nov,11,4
20191122,2019-11-22,"2019",Friday,November,Nov,11,4
20191123,2019-11-23,"2019",Saturday,November,Nov,11,4
20191124,2019-11-24,"2019",Sunday,November,Nov,11,4
20191125,2019-11-25,"2019",Monday,November,Nov,11,4
20191126,2019-11-26,"2019",Tuesday,November,Nov,11,4
20191127,2019-11-27,"2019",Wednesday,November,Nov,11,4
20191128,2019-11-28,"2019",Thursday,November,Nov,11,4
20191129,2019-11-29,"2019",Friday,November,Nov,11,4
20191130,2019-11-30,"2019",Saturday,November,Nov,11,4
20191201,2019-12-01,"2019",Sunday,December,Dec,12,4
20191202,2019-12-02,"2019",Monday,December,Dec,12,4
20191203,2019-12-03,"2019",Tuesday,December,Dec,12,4
20191204,2019-12-04,"2019",Wednesday,December,Dec,12,4
20191205,2019-12-05,"2019",Thursday,December,Dec,12,4
20191206,2019-12-06,"2019",Friday,December,Dec,12,4
20191207,2019-12-07,"2019",Saturday,December,Dec,12,4
20191208,2019-12-08,"2019",Sunday,December,Dec,12,4
20191209,2019-12-09,"2019",Monday,December,Dec,12,4
20191210,2019-12-10,"2019",Tuesday,December,Dec,12,4
20191211,2019-12-11,"2019",Wednesday,December,Dec,12,4
20191212,2019-12-12,"2019",Thursday,December,Dec,12,4
20191213,2019-12-13,"2019",Friday,December,Dec,12,4
20191214,2019-12-14,"2019",Saturday,December,Dec,12,4
20191215,2019-12-15,"2019",Sunday,December,Dec,12,4
20191216,2019-12-16,"2019",Monday,December,Dec,12,4
20191217,2019-12-17,"2019",Tuesday,December,Dec,12,4
20191218,2019-12-18,"2019",Wednesday,December,Dec,12,4
20191219,2019-12-19,"2019",Thursday,December,Dec,12,4
20191220,2019-12-20,"2019",Friday,December,Dec,12,4
20191221,2019-12-21,"2019",Saturday,December,Dec,12,4
20191222,2019-12-22,"2019",Sunday,December,Dec,12,4
20191223,2019-12-23,"2019",Monday,December,Dec,12,4
20191224,2019-12-24,"2019",Tuesday,December,Dec,12,4
20191225,2019-12-25,"2019",Wednesday,December,Dec,12,4
20191226,2019-12-26,"2019",Thursday,December,Dec,12,4
20191227,2019-12-27,"2019",Friday,December,Dec,12,4
20191228,2019-12-28,"2019",Saturday,December,Dec,12,4
20191229,2019-12-29,"2019",Sunday,December,Dec,12,4
20191230,2019-12-30,"2019",Monday,December,Dec,12,4
20191231,2019-12-31,"2019",Tuesday,December,Dec,12,4
20200101,2020-01-01,"2020",Wednesday,January,Jan,1,1
20200102,2020-01-02,"2020",Thursday,January,Jan,1,1
20200103,2020-01-03,"2020",Friday,January,Jan,1,1
20200104,2020-01-04,"2020",Saturday,January,Jan,1,1
20200105,2020-01-05,"2020",Sunday,January,Jan,1,1
20200106,2020-01-06,"2020",Monday,January,Jan,1,1
20200107,2020-01-07,"2020",Tuesday,January,Jan,1,1
20200108,2020-01-08,"2020",Wednesday,January,Jan,1,1
20200109,2020-01-09,"2020",Thursday,January,Jan,1,1
20200110,2020-01-10,"2020",Friday,January,Jan,1,1
20200111,2020-01-11,"2020",Saturday,January,Jan,1,1
20200112,2020-01-12,"2020",Sunday,January,Jan,1,1
20200113,2020-01-13,"2020",Monday,January,Jan,1,1
20200114,2020-01-14,"2020",Tuesday,January,Jan,1,1
20200115,2020-01-15,"2020",Wednesday,January,Jan,1,1
20200116,2020-01-16,"2020",Thursday,January,Jan,1,1
20200117,2020-01-17,"2020",Friday,January,Jan,1,1
20200118,2020-01-18,"2020",Saturday,January,Jan,1,1
20200119,2020-01-19,"2020",Sunday,January,Jan,1,1
20200120,2020-01-20,"2020",Monday,January,Jan,1,1
20200121,2020-01-21,"2020",Tuesday,January,Jan,1,1
20200122,2020-01-22,"2020",Wednesday,January,Jan,1,1
20200123,2020-01-23,"2020",Thursday,January,Jan,1,1
20200124,2020-01-24,"2020",Friday,January,Jan,1,1
20200125,2020-01-25,"2020",Saturday,January,Jan,1,1
20200126,2020-01-26,"2020",Sunday,January,Jan,1,1
20200127,2020-01-27,"2020",Monday,January,Jan,1,1
20200128,2020-01-28,"2020",Tuesday,January,Jan,1,1
20200129,2020-01-29,"2020",Wednesday,January,Jan,1,1
20200130,2020-01-30,"2020",Thursday,January,Jan,1,1
20200131,2020-01-31,"2020",Friday,January,Jan,1,1
20200201,2020-02-01,"2020",Saturday,February,Feb,2,1
20200202,2020-02-02,"2020",Sunday,February,Feb,2,1
20200203,2020-02-03,"2020",Monday,February,Feb,2,1
20200204,2020-02-04,"2020",Tuesday,February,Feb,2,1
20200205,2020-02-05,"2020",Wednesday,February,Feb,2,1
20200206,2020-02-06,"2020",Thursday,February,Feb,2,1
20200207,2020-02-07,"2020",Friday,February,Feb,2,1
20200208,2020-02-08,"2020",Saturday,February,Feb,2,1
20200209,2020-02-09,"2020",Sunday,February,Feb,2,1
20200210,2020-02-10,"2020",Monday,February,Feb,2,1
20200211,2020-02-11,"2020",Tuesday,February,Feb,2,1
20200212,2020-02-12,"2020",Wednesday,February,Feb,2,1
20200213,2020-02-13,"2020",Thursday,February,Feb,2,1
20200214,2020-02-14,"2020",Friday,February,Feb,2,1
20200215,2020-02-15,"2020",Saturday,February,Feb,2,1
20200216,2020-02-16,"2020",Sunday,February,Feb,2,1
20200217,2020-02-17,"2020",Monday,February,Feb,2,1
20200218,2020-02-18,"2020",Tuesday,February,Feb,2,1
20200219,2020-02-19,"2020",Wednesday,February,Feb,2,1
20200220,2020-02-20,"2020",Thursday,February,Feb,2,1
20200221,2020-02-21,"2020",Friday,February,Feb,2,1
20200222,2020-02-22,"2020",Saturday,February,Feb,2,1
20200223,2020-02-23,"2020",Sunday,February,Feb,2,1
20200224,2020-02-24,"2020",Monday,February,Feb,2,1
20200225,2020-02-25,"2020",Tuesday,February,Feb,2,1
20200226,2020-02-26,"2020",Wednesday,February,Feb,2,1
20200227,2020-02-27,"2020",Thursday,February,Feb,2,1
20200228,2020-02-28,"2020",Friday,February,Feb,2,1
20200229,2020-02-29,"2020",Saturday,February,Feb,2,1
20200301,2020-03-01,"2020",Sunday,March,Mar,3,1
20200302,2020-03-02,"2020",Monday,March,Mar,3,1
20200303,2020-03-03,"2020",Tuesday,March,Mar,3,1
20200304,2020-03-04,"2020",Wednesday,March,Mar,3,1
20200305,2020-03-05,"2020",Thursday,March,Mar,3,1
20200306,2020-03-06,"2020",Friday,March,Mar,3,1
20200307,2020-03-07,"2020",Saturday,March,Mar,3,1
20200308,2020-03-08,"2020",Sunday,March,Mar,3,1
20200309,2020-03-09,"2020",Monday,March,Mar,3,1
20200310,2020-03-10,"2020",Tuesday,March,Mar,3,1
20200311,2020-03-11,"2020",Wednesday,March,Mar,3,1
20200312,2020-03-12,"2020",Thursday,March,Mar,3,1
20200313,2020-03-13,"2020",Friday,March,Mar,3,1
20200314,2020-03-14,"2020",Saturday,March,Mar,3,1
20200315,2020-03-15,"2020",Sunday,March,Mar,3,1
20200316,2020-03-16,"2020",Monday,March,Mar,3,1
20200317,2020-03-17,"2020",Tuesday,March,Mar,3,1
20200318,2020-03-18,"2020",Wednesday,March,Mar,3,1
20200319,2020-03-19,"2020",Thursday,March,Mar,3,1
20200320,2020-03-20,"2020",Friday,March,Mar,3,1
20200321,2020-03-21,"2020",Saturday,March,Mar,3,1
20200322,2020-03-22,"2020",Sunday,March,Mar,3,1
20200323,2020-03-23,"2020",Monday,March,Mar,3,1
20200324,2020-03-24,"2020",Tuesday,March,Mar,3,1
20200325,2020-03-25,"2020",Wednesday,March,Mar,3,1
20200326,2020-03-26,"2020",Thursday,March,Mar,3,1
20200327,2020-03-27,"2020",Friday,March,Mar,3,1
20200328,2020-03-28,"2020",Saturday,March,Mar,3,1
20200329,2020-03-29,"2020",Sunday,March,Mar,3,1
20200330,2020-03-30,"2020",Monday,March,Mar,3,1
20200331,2020-03-31,"2020",Tuesday,March,Mar,3,1
20200401,2020-04-01,"2020",Wednesday,April,Apr,4,2
20200402,2020-04-02,"2020",Thursday,April,Apr,4,2
20200403,2020-04-03,"2020",Friday,April,Apr,4,2
20200404,2020-04-04,"2020",Saturday,April,Apr,4,2
20200405,2020-04-05,"2020",Sunday,April,Apr,4,2
20200406,2020-04-06,"2020",Monday,April,Apr,4,2
20200407,2020-04-07,"2020",Tuesday,April,Apr,4,2
20200408,2020-04-08,"2020",Wednesday,April,Apr,4,2
20200409,2020-04-09,"2020",Thursday,April,Apr,4,2
20200410,2020-04-10,"2020",Friday,April,Apr,4,2
